Genes	Celltypes	Source
SLC2A5	Hypoxia	HALLMARK
SLC37A4	Hypoxia	HALLMARK
SLC6A6	Hypoxia	HALLMARK
SRPX	Hypoxia	HALLMARK
STBD1	Hypoxia	HALLMARK
STC1	Hypoxia	HALLMARK
STC2	Hypoxia	HALLMARK
SULT2B1	Hypoxia	HALLMARK
TES	Hypoxia	HALLMARK
TGFB3	Hypoxia	HALLMARK
TGFBI	Hypoxia	HALLMARK
TGM2	Hypoxia	HALLMARK
TIPARP	Hypoxia	HALLMARK
TKTL1	Hypoxia	HALLMARK
TMEM45A	Hypoxia	HALLMARK
TNFAIP3	Hypoxia	HALLMARK
TPBG	Hypoxia	HALLMARK
TPD52	Hypoxia	HALLMARK
TPI1	Hypoxia	HALLMARK
TPST2	Hypoxia	HALLMARK
UGP2	Hypoxia	HALLMARK
VEGFA	Hypoxia	HALLMARK
VHL	Hypoxia	HALLMARK
VLDLR	Hypoxia	HALLMARK
WSB1	Hypoxia	HALLMARK
XPNPEP1	Hypoxia	HALLMARK
ZFP36	Hypoxia	HALLMARK
ZNF292	Hypoxia	HALLMARK
CTNNB1	WNT_beta_Catenin_Signaling	HALLMARK
ADAM17	WNT_beta_Catenin_Signaling	HALLMARK
AXIN1	WNT_beta_Catenin_Signaling	HALLMARK
AXIN2	WNT_beta_Catenin_Signaling	HALLMARK
CCND2	WNT_beta_Catenin_Signaling	HALLMARK
CSNK1E	WNT_beta_Catenin_Signaling	HALLMARK
CTNNB1	WNT_beta_Catenin_Signaling	HALLMARK
CUL1	WNT_beta_Catenin_Signaling	HALLMARK
DKK1	WNT_beta_Catenin_Signaling	HALLMARK
DKK4	WNT_beta_Catenin_Signaling	HALLMARK
DLL1	WNT_beta_Catenin_Signaling	HALLMARK
DVL2	WNT_beta_Catenin_Signaling	HALLMARK
FRAT1	WNT_beta_Catenin_Signaling	HALLMARK
FZD1	WNT_beta_Catenin_Signaling	HALLMARK
FZD8	WNT_beta_Catenin_Signaling	HALLMARK
GNAI1	WNT_beta_Catenin_Signaling	HALLMARK
HDAC11	WNT_beta_Catenin_Signaling	HALLMARK
HDAC2	WNT_beta_Catenin_Signaling	HALLMARK
HDAC5	WNT_beta_Catenin_Signaling	HALLMARK
HEY1	WNT_beta_Catenin_Signaling	HALLMARK
HEY2	WNT_beta_Catenin_Signaling	HALLMARK
JAG1	WNT_beta_Catenin_Signaling	HALLMARK
JAG2	WNT_beta_Catenin_Signaling	HALLMARK
KAT2A	WNT_beta_Catenin_Signaling	HALLMARK
LEF1	WNT_beta_Catenin_Signaling	HALLMARK
MAML1	WNT_beta_Catenin_Signaling	HALLMARK
MYC	WNT_beta_Catenin_Signaling	HALLMARK
NCOR2	WNT_beta_Catenin_Signaling	HALLMARK
NCSTN	WNT_beta_Catenin_Signaling	HALLMARK
NKD1	WNT_beta_Catenin_Signaling	HALLMARK
NOTCH1	WNT_beta_Catenin_Signaling	HALLMARK
NOTCH4	WNT_beta_Catenin_Signaling	HALLMARK
NUMB	WNT_beta_Catenin_Signaling	HALLMARK
PPARD	WNT_beta_Catenin_Signaling	HALLMARK
PSEN2	WNT_beta_Catenin_Signaling	HALLMARK
PTCH1	WNT_beta_Catenin_Signaling	HALLMARK
RBPJ	WNT_beta_Catenin_Signaling	HALLMARK
SKP2	WNT_beta_Catenin_Signaling	HALLMARK
TCF7	WNT_beta_Catenin_Signaling	HALLMARK
TP53	WNT_beta_Catenin_Signaling	HALLMARK
WNT1	WNT_beta_Catenin_Signaling	HALLMARK
WNT5B	WNT_beta_Catenin_Signaling	HALLMARK
WNT6	WNT_beta_Catenin_Signaling	HALLMARK
APOH	Angiogenesis	HALLMARK
APP	Angiogenesis	HALLMARK
CCND2	Angiogenesis	HALLMARK
COL3A1	Angiogenesis	HALLMARK
COL5A2	Angiogenesis	HALLMARK
CXCL6	Angiogenesis	HALLMARK
FGFR1	Angiogenesis	HALLMARK
FSTL1	Angiogenesis	HALLMARK
ITGAV	Angiogenesis	HALLMARK
JAG1	Angiogenesis	HALLMARK
JAG2	Angiogenesis	HALLMARK
KCNJ8	Angiogenesis	HALLMARK
LPL	Angiogenesis	HALLMARK
LRPAP1	Angiogenesis	HALLMARK
LUM	Angiogenesis	HALLMARK
MSX1	Angiogenesis	HALLMARK
NRP1	Angiogenesis	HALLMARK
OLR1	Angiogenesis	HALLMARK
PDGFA	Angiogenesis	HALLMARK
PF4	Angiogenesis	HALLMARK
PGLYRP1	Angiogenesis	HALLMARK
POSTN	Angiogenesis	HALLMARK
PRG2	Angiogenesis	HALLMARK
PTK2	Angiogenesis	HALLMARK
S100A4	Angiogenesis	HALLMARK
SERPINA5	Angiogenesis	HALLMARK
SLCO2A1	Angiogenesis	HALLMARK
SPP1	Angiogenesis	HALLMARK
STC1	Angiogenesis	HALLMARK
THBD	Angiogenesis	HALLMARK
TIMP1	Angiogenesis	HALLMARK
TNFRSF21	Angiogenesis	HALLMARK
VAV2	Angiogenesis	HALLMARK
VCAN	Angiogenesis	HALLMARK
VEGFA	Angiogenesis	HALLMARK
VTN	Angiogenesis	HALLMARK
HSPA1B	T exhausted	TIDE
HSPA1A	T exhausted	TIDE
NR4A2	T exhausted	TIDE
RGS1	T exhausted	TIDE
TNFAIP3	T exhausted	TIDE
CAMK2N1	T exhausted	TIDE
DUSP1	T exhausted	TIDE
NR4A3	T exhausted	TIDE
IFIT3	T exhausted	TIDE
IFIT1B	T exhausted	TIDE
FOSB	T exhausted	TIDE
CCL5	T exhausted	TIDE
SAMD3	T exhausted	TIDE
CCL3L3	T exhausted	TIDE
MACC1	T exhausted	TIDE
VPS37B	T exhausted	TIDE
TF	T exhausted	TIDE
DSEL	T exhausted	TIDE
SPATA20	T exhausted	TIDE
ADSSL1	T exhausted	TIDE
DHX58	T exhausted	TIDE
SPP1	T exhausted	TIDE
TRIM15	T exhausted	TIDE
DUSP26	T exhausted	TIDE
ABI3	T exhausted	TIDE
SFN	T exhausted	TIDE
C1QC	T exhausted	TIDE
RTP4	T exhausted	TIDE
JUN	T exhausted	TIDE
BCKDHB	T exhausted	TIDE
CCL4	T exhausted	TIDE
POU6F1	T exhausted	TIDE
CYSLTR2	T exhausted	TIDE
SLC14A1	T exhausted	TIDE
RGS16	T exhausted	TIDE
CUEDC1	T exhausted	TIDE
DEDD2	T exhausted	TIDE
CPEB1	T exhausted	TIDE
CTSS	T exhausted	TIDE
TMEM88	T exhausted	TIDE
FAM196B	T exhausted	TIDE
SKI	T exhausted	TIDE
BTG1	T exhausted	TIDE
SYCP2L	T exhausted	TIDE
RGS2	T exhausted	TIDE
ABCB1	T exhausted	TIDE
ADRB2	T exhausted	TIDE
CD69	T exhausted	TIDE
RNF166	T exhausted	TIDE
TNN	T exhausted	TIDE
CDH1	T exhausted Late stage	TIDE
CCL5	T exhausted Late stage	TIDE
CXCR6	T exhausted Late stage	TIDE
FGL2	T exhausted Late stage	TIDE
GLP1R	T exhausted Late stage	TIDE
FCER1G	T exhausted Late stage	TIDE
KIF5C	T exhausted Late stage	TIDE
ABI3	T exhausted Late stage	TIDE
MYO6	T exhausted Late stage	TIDE
F2R	T exhausted Late stage	TIDE
GZMK	T exhausted Late stage	TIDE
TYROBP	T exhausted Late stage	TIDE
CD244	T exhausted Late stage	TIDE
ID2	T exhausted Late stage	TIDE
CCR5	T exhausted Late stage	TIDE
NEDD9	T exhausted Late stage	TIDE
ASB2	T exhausted Late stage	TIDE
KLRD1	T exhausted Late stage	TIDE
DAPK2	T exhausted Late stage	TIDE
OSBPL3	T exhausted Late stage	TIDE
CA2	T exhausted Late stage	TIDE
SPRY2	T exhausted Late stage	TIDE
HCST	T exhausted Late stage	TIDE
MYO1F	T exhausted Late stage	TIDE
CD200R1	T exhausted Late stage	TIDE
CD200R1L	T exhausted Late stage	TIDE
ITGA1	T exhausted Late stage	TIDE
AGTRAP	T exhausted Late stage	TIDE
CHN2	T exhausted Late stage	TIDE
RTN4RL1	T exhausted Late stage	TIDE
RGS1	T exhausted Late stage	TIDE
TXK	T exhausted Late stage	TIDE
LRRK1	T exhausted Late stage	TIDE
MYADM	T exhausted Late stage	TIDE
S100A9	T exhausted Late stage	TIDE
IL2RB	T exhausted Late stage	TIDE
CISH	T exhausted Late stage	TIDE
CASP1	T exhausted Late stage	TIDE
ACTN2	T exhausted Late stage	TIDE
USP20	T exhausted Late stage	TIDE
PGM2L1	T exhausted Late stage	TIDE
CD96	T exhausted Late stage	TIDE
RRAS2	T exhausted Late stage	TIDE
VPS54	T exhausted Late stage	TIDE
GRINA	T exhausted Late stage	TIDE
HOXA7	T exhausted Late stage	TIDE
LOC728392	T exhausted Late stage	TIDE
VAMP4	T exhausted Late stage	TIDE
BCL2	T exhausted Late stage	TIDE
PPM1B	T exhausted Late stage	TIDE
IL13RA2	MDSC	TIDE
SERPINE2	MDSC	TIDE
CT45A1	MDSC	TIDE
MAGEA4	MDSC	TIDE
MAGEA3	MDSC	TIDE
FDCSP	MDSC	TIDE
XAGE1B	MDSC	TIDE
IGFBP3	MDSC	TIDE
BMP2	MDSC	TIDE
LCN2	MDSC	TIDE
MRGPRX3	MDSC	TIDE
RRM2	MDSC	TIDE
COL9A3	MDSC	TIDE
UBE2C	MDSC	TIDE
ID1	MDSC	TIDE
BEX3	MDSC	TIDE
CTHRC1	MDSC	TIDE
AKAP12	MDSC	TIDE
WWTR1	MDSC	TIDE
SPOCK1	MDSC	TIDE
KRT18	MDSC	TIDE
CT45A5	MDSC	TIDE
TNC	MDSC	TIDE
SPANXB1	MDSC	TIDE
DCBLD2	MDSC	TIDE
CCNB1	MDSC	TIDE
SFRP1	MDSC	TIDE
OVOS2	MDSC	TIDE
HAS2	MDSC	TIDE
DKK1	MDSC	TIDE
MAGEC2	MDSC	TIDE
S100A16	MDSC	TIDE
PAGE5	MDSC	TIDE
PRAME	MDSC	TIDE
KRT6B	MDSC	TIDE
FAT1	MDSC	TIDE
APOBEC3B	MDSC	TIDE
ITGA2	MDSC	TIDE
PMEPA1	MDSC	TIDE
TM4SF1	MDSC	TIDE
MAGEA2	MDSC	TIDE
SERPINA3	MDSC	TIDE
MOCOS	MDSC	TIDE
TUBB3	MDSC	TIDE
POPDC3	MDSC	TIDE
S100A13	MDSC	TIDE
ASPM	MDSC	TIDE
GTSF1	MDSC	TIDE
YAP1	MDSC	TIDE
CNN3	MDSC	TIDE
F13A1	TAM M2_M1	TIDE
FCER1A	TAM M2_M1	TIDE
CCL17	TAM M2_M1	TIDE
FOXQ1	TAM M2_M1	TIDE
ESPNL	TAM M2_M1	TIDE
CD1A	TAM M2_M1	TIDE
GATM	TAM M2_M1	TIDE
CCL13	TAM M2_M1	TIDE
PALLD	TAM M2_M1	TIDE
GALNT18	TAM M2_M1	TIDE
MAOA	TAM M2_M1	TIDE
RAMP1	TAM M2_M1	TIDE
STAB1	TAM M2_M1	TIDE
CCL26	TAM M2_M1	TIDE
CCL23	TAM M2_M1	TIDE
PARM1	TAM M2_M1	TIDE
CD1E	TAM M2_M1	TIDE
ITM2C	TAM M2_M1	TIDE
CALCRL	TAM M2_M1	TIDE
CRH	TAM M2_M1	TIDE
RGS18	TAM M2_M1	TIDE
MS4A6A	TAM M2_M1	TIDE
DHRS2	TAM M2_M1	TIDE
PON2	TAM M2_M1	TIDE
ALOX15	TAM M2_M1	TIDE
RAB33A	TAM M2_M1	TIDE
MOCOS	TAM M2_M1	TIDE
CCL18	TAM M2_M1	TIDE
IL17RB	TAM M2_M1	TIDE
FABP4	TAM M2_M1	TIDE
CMTM8	TAM M2_M1	TIDE
QPRT	TAM M2_M1	TIDE
CDR2L	TAM M2_M1	TIDE
DUOXA1	TAM M2_M1	TIDE
ABCC4	TAM M2_M1	TIDE
SYT17	TAM M2_M1	TIDE
PPP1R14A	TAM M2_M1	TIDE
PDGFC	TAM M2_M1	TIDE
GPT	TAM M2_M1	TIDE
FAM189A2	TAM M2_M1	TIDE
RASAL1	TAM M2_M1	TIDE
IPCEF1	TAM M2_M1	TIDE
ZNF366	TAM M2_M1	TIDE
MAP4K1	TAM M2_M1	TIDE
RAB30	TAM M2_M1	TIDE
PCED1B	TAM M2_M1	TIDE
TMIGD3	TAM M2_M1	TIDE
SH3BP4	TAM M2_M1	TIDE
RRS1	TAM M2_M1	TIDE
RNASE1	TAM M2_M1	TIDE
COL3A1	CAF	TIDE
COL1A2	CAF	TIDE
COL1A1	CAF	TIDE
CTSK	CAF	TIDE
THBS2	CAF	TIDE
COL6A3	CAF	TIDE
C1S	CAF	TIDE
COL5A1	CAF	TIDE
C3	CAF	TIDE
SFRP2	CAF	TIDE
COL6A1	CAF	TIDE
C1R	CAF	TIDE
VCAN	CAF	TIDE
MXRA5	CAF	TIDE
MMP3	CAF	TIDE
ISLR	CAF	TIDE
DCN	CAF	TIDE
COL5A2	CAF	TIDE
CRISPLD2	CAF	TIDE
CDR1	CAF	TIDE
CXCL14	CAF	TIDE
COL12A1	CAF	TIDE
ADAMDEC1	CAF	TIDE
AEBP1	CAF	TIDE
LUM	CAF	TIDE
MMP1	CAF	TIDE
SERPINF1	CAF	TIDE
TIMP2	CAF	TIDE
IGFBP5	CAF	TIDE
SPARC	CAF	TIDE
CHI3L1	CAF	TIDE
PLAT	CAF	TIDE
SULF1	CAF	TIDE
GREM1	CAF	TIDE
BGN	CAF	TIDE
DKK3	CAF	TIDE
COL8A1	CAF	TIDE
TIMP1	CAF	TIDE
RARRES2	CAF	TIDE
C11orf96	CAF	TIDE
FBN1	CAF	TIDE
TMEM158	CAF	TIDE
THY1	CAF	TIDE
PCOLCE	CAF	TIDE
CYR61	CAF	TIDE
EFEMP1	CAF	TIDE
CTHRC1	CAF	TIDE
ACTA2-AS1	CAF	TIDE
FBLN1	CAF	TIDE
CXCL1	CAF	TIDE
HLA-A	Antigen presenting machinery	Sanders
HLA-B	Antigen presenting machinery	Sanders
HLA-C	Antigen presenting machinery	Sanders
B2M	Antigen presenting machinery	Sanders
TAP1	Antigen presenting machinery	Sanders
TAP2	Antigen presenting machinery	Sanders
TAPBP	Antigen presenting machinery	Sanders
CXCL1	Inflammatory-Angiogenic	Chemokines
CXCL2	Inflammatory-Angiogenic	Chemokines
CXCL3	Inflammatory-Angiogenic	Chemokines
CXCL5	Inflammatory-Angiogenic	Chemokines
CXCL6	Inflammatory-Angiogenic	Chemokines
IL8	Inflammatory-Angiogenic	Chemokines
CXCL9	Inflammatory-Angiostatic	Chemokines
CXCL10	Inflammatory-Angiostatic	Chemokines
CXCL11	Inflammatory-Angiostatic	Chemokines
CXCL16	Inflammatory	Chemokines
CCL1	Inflammatory	Chemokines
CCL2	Inflammatory	Chemokines
CCL3	Inflammatory	Chemokines
CCL4	Inflammatory	Chemokines
CCL5	Inflammatory	Chemokines
CCL6	Inflammatory	Chemokines
CCL7	Inflammatory	Chemokines
CCL8	Inflammatory	Chemokines
CCL13	Inflammatory	Chemokines
CCL26	Inflammatory	Chemokines
VEGF	Chronic	Inflammation
IL6	Chronic	Inflammation
IL7	Chronic	Inflammation
IL8	Chronic	Inflammation
IL2	Chronic	Inflammation
RANTES	Chronic	Inflammation
FGF2	Chronic	Inflammation
NFKB	Chronic	Inflammation
TNF	Chronic	Inflammation
TGFB	Chronic	Inflammation
CCL4	Chronic	Inflammation
ABI3BP	EMT	HALLMARK
ACTA2	EMT	HALLMARK
ADAM12	EMT	HALLMARK
ANPEP	EMT	HALLMARK
APLP1	EMT	HALLMARK
AREG	EMT	HALLMARK
BASP1	EMT	HALLMARK
BDNF	EMT	HALLMARK
BGN	EMT	HALLMARK
BMP1	EMT	HALLMARK
CADM1	EMT	HALLMARK
CALD1	EMT	HALLMARK
CALU	EMT	HALLMARK
CAP2	EMT	HALLMARK
CAPG	EMT	HALLMARK
CCN1	EMT	HALLMARK
CCN2	EMT	HALLMARK
CD44	EMT	HALLMARK
CD59	EMT	HALLMARK
CDH11	EMT	HALLMARK
CDH2	EMT	HALLMARK
CDH6	EMT	HALLMARK
COL11A1	EMT	HALLMARK
COL12A1	EMT	HALLMARK
COL16A1	EMT	HALLMARK
COL1A1	EMT	HALLMARK
COL1A2	EMT	HALLMARK
COL3A1	EMT	HALLMARK
COL4A1	EMT	HALLMARK
COL4A2	EMT	HALLMARK
COL5A1	EMT	HALLMARK
COL5A2	EMT	HALLMARK
COL5A3	EMT	HALLMARK
COL6A2	EMT	HALLMARK
COL6A3	EMT	HALLMARK
COL7A1	EMT	HALLMARK
COL8A2	EMT	HALLMARK
COLGALT1	EMT	HALLMARK
COMP	EMT	HALLMARK
COPA	EMT	HALLMARK
CRLF1	EMT	HALLMARK
CTHRC1	EMT	HALLMARK
CXCL1	EMT	HALLMARK
CXCL12	EMT	HALLMARK
CXCL6	EMT	HALLMARK
CXCL8	EMT	HALLMARK
DAB2	EMT	HALLMARK
DCN	EMT	HALLMARK
DKK1	EMT	HALLMARK
DPYSL3	EMT	HALLMARK
DST	EMT	HALLMARK
ECM1	EMT	HALLMARK
ECM2	EMT	HALLMARK
EDIL3	EMT	HALLMARK
EFEMP2	EMT	HALLMARK
ELN	EMT	HALLMARK
EMP3	EMT	HALLMARK
ENO2	EMT	HALLMARK
FAP	EMT	HALLMARK
FAS	EMT	HALLMARK
FBLN1	EMT	HALLMARK
FBLN2	EMT	HALLMARK
FBLN5	EMT	HALLMARK
FBN1	EMT	HALLMARK
FBN2	EMT	HALLMARK
FERMT2	EMT	HALLMARK
FGF2	EMT	HALLMARK
FLNA	EMT	HALLMARK
FMOD	EMT	HALLMARK
FN1	EMT	HALLMARK
FOXC2	EMT	HALLMARK
FSTL1	EMT	HALLMARK
FSTL3	EMT	HALLMARK
FUCA1	EMT	HALLMARK
FZD8	EMT	HALLMARK
GADD45A	EMT	HALLMARK
GADD45B	EMT	HALLMARK
GAS1	EMT	HALLMARK
GEM	EMT	HALLMARK
GJA1	EMT	HALLMARK
GLIPR1	EMT	HALLMARK
GPC1	EMT	HALLMARK
GPX7	EMT	HALLMARK
GREM1	EMT	HALLMARK
HTRA1	EMT	HALLMARK
ID2	EMT	HALLMARK
IGFBP2	EMT	HALLMARK
IGFBP3	EMT	HALLMARK
IGFBP4	EMT	HALLMARK
IL15	EMT	HALLMARK
IL32	EMT	HALLMARK
IL6	EMT	HALLMARK
INHBA	EMT	HALLMARK
ITGA2	EMT	HALLMARK
ITGA5	EMT	HALLMARK
ITGAV	EMT	HALLMARK
ITGB1	EMT	HALLMARK
ITGB3	EMT	HALLMARK
ITGB5	EMT	HALLMARK
JUN	EMT	HALLMARK
LAMA1	EMT	HALLMARK
LAMA2	EMT	HALLMARK
LAMA3	EMT	HALLMARK
LAMC1	EMT	HALLMARK
LAMC2	EMT	HALLMARK
LGALS1	EMT	HALLMARK
LOX	EMT	HALLMARK
LOXL1	EMT	HALLMARK
LOXL2	EMT	HALLMARK
LRP1	EMT	HALLMARK
LRRC15	EMT	HALLMARK
LUM	EMT	HALLMARK
MAGEE1	EMT	HALLMARK
MATN2	EMT	HALLMARK
MATN3	EMT	HALLMARK
MCM7	EMT	HALLMARK
MEST	EMT	HALLMARK
MFAP5	EMT	HALLMARK
MGP	EMT	HALLMARK
MMP1	EMT	HALLMARK
MMP14	EMT	HALLMARK
MMP2	EMT	HALLMARK
MMP3	EMT	HALLMARK
MSX1	EMT	HALLMARK
MXRA5	EMT	HALLMARK
MYL9	EMT	HALLMARK
MYLK	EMT	HALLMARK
NID2	EMT	HALLMARK
NNMT	EMT	HALLMARK
NOTCH2	EMT	HALLMARK
NT5E	EMT	HALLMARK
NTM	EMT	HALLMARK
OXTR	EMT	HALLMARK
P3H1	EMT	HALLMARK
PCOLCE	EMT	HALLMARK
PCOLCE2	EMT	HALLMARK
PDGFRB	EMT	HALLMARK
PDLIM4	EMT	HALLMARK
PFN2	EMT	HALLMARK
PLAUR	EMT	HALLMARK
PLOD1	EMT	HALLMARK
PLOD2	EMT	HALLMARK
PLOD3	EMT	HALLMARK
PMEPA1	EMT	HALLMARK
PMP22	EMT	HALLMARK
POSTN	EMT	HALLMARK
PPIB	EMT	HALLMARK
PRRX1	EMT	HALLMARK
PRSS2	EMT	HALLMARK
PTHLH	EMT	HALLMARK
PTX3	EMT	HALLMARK
PVR	EMT	HALLMARK
QSOX1	EMT	HALLMARK
RGS4	EMT	HALLMARK
RHOB	EMT	HALLMARK
SAT1	EMT	HALLMARK
SCG2	EMT	HALLMARK
SDC1	EMT	HALLMARK
SDC4	EMT	HALLMARK
SERPINE1	EMT	HALLMARK
SERPINE2	EMT	HALLMARK
SERPINH1	EMT	HALLMARK
SFRP1	EMT	HALLMARK
SFRP4	EMT	HALLMARK
SGCB	EMT	HALLMARK
SGCD	EMT	HALLMARK
SGCG	EMT	HALLMARK
SLC6A8	EMT	HALLMARK
SLIT2	EMT	HALLMARK
SLIT3	EMT	HALLMARK
SNAI2	EMT	HALLMARK
SNTB1	EMT	HALLMARK
SPARC	EMT	HALLMARK
SPOCK1	EMT	HALLMARK
SPP1	EMT	HALLMARK
TAGLN	EMT	HALLMARK
TFPI2	EMT	HALLMARK
TGFB1	EMT	HALLMARK
TGFBI	EMT	HALLMARK
TGFBR3	EMT	HALLMARK
TGM2	EMT	HALLMARK
THBS1	EMT	HALLMARK
THBS2	EMT	HALLMARK
THY1	EMT	HALLMARK
TIMP1	EMT	HALLMARK
TIMP3	EMT	HALLMARK
TNC	EMT	HALLMARK
TNFAIP3	EMT	HALLMARK
TNFRSF11B	EMT	HALLMARK
TNFRSF12A	EMT	HALLMARK
TPM1	EMT	HALLMARK
TPM2	EMT	HALLMARK
TPM4	EMT	HALLMARK
VCAM1	EMT	HALLMARK
VCAN	EMT	HALLMARK
VEGFA	EMT	HALLMARK
VEGFC	EMT	HALLMARK
VIM	EMT	HALLMARK
WIPF1	EMT	HALLMARK
WNT5A	EMT	HALLMARK
CDH1	EMT	Canonical Marker
VIM	EMT	Canonical Marker
CDH2	EMT	Canonical Marker
FN1	EMT	Canonical Marker
B2M	MHC	Pallocca
TAP1	MHC	Pallocca
TAP2	MHC	Pallocca
HLA-A	MHC	Pallocca
HLA-B	MHC	Pallocca
HLA-C	MHC	Pallocca
HLA-DPA1	MHC	Pallocca
HLA-DPB1	MHC	Pallocca
HLA-E	MHC	Pallocca
HLA-F	MHC	Pallocca
PDCD1	Checkpoint	Pallocca
CTLA4	Checkpoint	Pallocca
LAG3	Checkpoint	Pallocca
TIGIT	Checkpoint	Pallocca
HAVCR2	Checkpoint	Pallocca
CD274	Checkpoint	Pallocca
PDCD1LG2	Checkpoint	Pallocca
CD27	Checkpoint	Pallocca
ICOS	Checkpoint	Pallocca
IDO1	Checkpoint	Pallocca
KDR	AXL pathway	Pallocca
MET	AXL pathway	Pallocca
AXL	AXL pathway	Pallocca
TEK	AXL pathway	Pallocca
MERTK	AXL pathway	Pallocca
TYRO3	AXL pathway	Pallocca
RET	AXL pathway	Pallocca
FLT1	AXL pathway	Pallocca
FLT4	AXL pathway	Pallocca
GAS6	AXL pathway	Pallocca
LAMA3	ICB resistance signature 3	Pallocca
CST2	ICB resistance signature 3	Pallocca
CNN1	ICB resistance signature 2	Pallocca
SERPINF2	ICB resistance signature 2	Pallocca
COL3A1	ICB resistance signature 2	Pallocca
MXRA7	ICB resistance signature 2	Pallocca
AXL	ICB resistance signature 1	Pallocca
ROR2	ICB resistance signature 1	Pallocca
WNT5A	ICB resistance signature 1	Pallocca
LOXL2	ICB resistance signature 1	Pallocca
TWIST2	ICB resistance signature 1	Pallocca
TAGLN	ICB resistance signature 1	Pallocca
FAP	ICB resistance signature 1	Pallocca
MMP1	ICB resistance signature 1	Pallocca
MMP13	ICB resistance signature 1	Pallocca
COL8A1	ICB resistance signature 1	Pallocca
COL12A1	ICB resistance signature 1	Pallocca
INHBA	ICB resistance signature 1	Pallocca
FBLN1	ICB resistance signature 1	Pallocca
ADAMTS7	ICB resistance signature 1	Pallocca
CD3D	IFN-y (expanded set)	Pallocca
IDO1	IFN-y (expanded set)	Pallocca
CIITA	IFN-y (expanded set)	Pallocca
CD3E	IFN-y (expanded set)	Pallocca
CCL5	IFN-y (expanded set)	Pallocca
GZMK	IFN-y (expanded set)	Pallocca
CD2	IFN-y (expanded set)	Pallocca
HLA-DRA	IFN-y (expanded set)	Pallocca
CXCL13	IFN-y (expanded set)	Pallocca
IL2RG	IFN-y (expanded set)	Pallocca
NKG7	IFN-y (expanded set)	Pallocca
HLA-E	IFN-y (expanded set)	Pallocca
CXCR6	IFN-y (expanded set)	Pallocca
LAG3	IFN-y (expanded set)	Pallocca
TAGAP	IFN-y (expanded set)	Pallocca
CXCL10	IFN-y (expanded set)	Pallocca
STAT1	IFN-y (expanded set)	Pallocca
GZMB	IFN-y (expanded set)	Pallocca
IDO1	IFN-y (reduced set)	Pallocca
CXCL10	IFN-y (reduced set)	Pallocca
CXCL9	IFN-y (reduced set)	Pallocca
HLA-DRA	IFN-y (reduced set)	Pallocca
STAT1	IFN-y (reduced set)	Pallocca
IFNG	IFN-y (reduced set)	Pallocca
POLE	MMR machinery 	Pallocca
POLE2	MMR machinery 	Pallocca
POLE3	MMR machinery 	Pallocca
POLE4	MMR machinery 	Pallocca
MLH1	MMR machinery 	Pallocca
TEK	Endothelial	CellMarker
INSR	Endothelial	CellMarker
TSPAN7	Endothelial	CellMarker
TNFRSF17	Endothelial	CellMarker
BMPR1A	Endothelial	CellMarker
KDR	Endothelial	CellMarker
FGFR2	Endothelial	CellMarker
CEACAM1	Endothelial	CellMarker
CEACAM3	Endothelial	CellMarker
NT5E	Endothelial	CellMarker
PROCR	Endothelial	CellMarker
A4GALT	Endothelial	CellMarker
IL3RA	Endothelial	CellMarker
PROM1	Endothelial	CellMarker
CDH5	Endothelial	CellMarker
MCAM	Endothelial	CellMarker
PECAM1	Endothelial	CellMarker
PTPRC	Endothelial	CellMarker
ESM1	Endothelial	CellMarker
F8	Endothelial	CellMarker
STX1A	Endothelial	CellMarker
LYVE1	Endothelial	CellMarker
VEGFA	Endothelial	CellMarker
FLT4	Endothelial	CellMarker
CD34	Endothelial	CellMarker
PDPN	Endothelial	CellMarker
PROX1	Endothelial	CellMarker
SBSN	Endothelial	CellMarker
VWF	Endothelial	CellMarker
MME	Fibroblast	CellMarker
PVRL1	Fibroblast	CellMarker
PDGFRB	Fibroblast	CellMarker
ADAM17	Fibroblast	CellMarker
NGFR	Fibroblast	CellMarker
THY1	Fibroblast	CellMarker
COL11A1	Fibroblast	CellMarker
C5AR2	Fibroblast	CellMarker
MRC1	Macrophage M2	CellMarker
CD163	Macrophage M2	CellMarker
ACTA2	CAF	pro-tumorigenesis
S100A4	CAF	pro-tumorigenesis
FAP	CAF	pro-tumorigenesis
PDGFRA	CAF	pro-tumorigenesis
PDGFRB	CAF	pro-tumorigenesis
PDPN	CAF	pro-tumorigenesis
CD70	CAF	pro-tumorigenesis
VIM	CAF	pro-tumorigenesis
C5AR2	CAF	pro-tumorigenesis
MME	CAF	pro-tumorigenesis
CD74	CAF	pro-tumorigenesis
SAA3P	CAF	pro-tumorigenesis
ACTA2	CAF	Tumo suppresive
S100A4	CAF	Tumo suppresive
MCAM	CAF	Tumo suppresive
CAV1	CAF	Tumo suppresive
ACTA2	Fibroblasts	Literature
COL1A1	Fibroblasts	Literature
COL1A2	Fibroblasts	Literature
COL3A1	Fibroblasts	Literature
S100A4	Fibroblasts	Literature
THY1	Fibroblasts	Literature
TSLP	Fibroblasts	Literature
VIM	Fibroblasts	Literature
BIRC5	Epithelial	Literature
CD2	Epithelial	Literature
CDH1	Epithelial	Literature
ITGA1	Epithelial	Literature
ITGA2	Epithelial	Literature
ITGA3	Epithelial	Literature
ITGA4	Epithelial	Literature
ITGA5	Epithelial	Literature
ITGA6	Epithelial	Literature
ITGAL	Epithelial	Literature
